,year,day,time,play,park
0,2017,06.01(목),18:30,넥센1vs6LG,잠실
1,2017,06.02(금),18:30,NC4vs1LG,잠실
2,2017,06.03(토),17:00,NC4vs3LG,잠실
3,2017,06.04(일),17:00,NC6vs5LG,잠실
4,2017,06.07(수),18:30,LG11vs7KT,수원
5,2017,06.08(목),18:30,LG5vs4KT,수원
6,2017,06.09(금),18:30,SK1vs3LG,잠실
7,2017,06.10(토),17:00,SK4vs3LG,잠실
8,2017,06.11(일),17:00,SK1vs19LG,잠실
9,2017,06.13(화),18:30,LG4vs7두산,잠실
10,2017,06.14(수),18:30,LG5vs1두산,잠실
11,2017,06.15(목),18:30,LG12vs6두산,잠실
12,2017,06.16(금),18:30,LG9vs8KIA,광주
13,2017,06.17(토),17:00,LG3vs4KIA,광주
14,2017,06.18(일),17:00,LG16vs8KIA,광주
15,2017,06.20(화),18:30,삼성3vs5LG,잠실
16,2017,06.21(수),18:30,삼성10vs3LG,잠실
17,2017,06.22(목),18:30,삼성5vs1LG,잠실
18,2017,06.23(금),18:30,LG3vs8넥센,고척
19,2017,06.24(토),17:00,LG8vs2넥센,고척
20,2017,06.25(일),17:00,LG2vs4넥센,고척
21,2017,06.27(화),18:30,LG10vs11롯데,사직
22,2017,06.28(수),18:30,LG9vs9롯데,사직
23,2017,06.30(금),18:30,KIA10vs6LG,잠실
24,2017,07.01(토),18:00,KIA10vs4LG,잠실
25,2017,07.02(일),18:00,KIA13vs4LG,잠실
26,2017,07.05(수),18:30,LG12vs5NC,마산
27,2017,07.08(토),18:00,한화6vs3LG,잠실
28,2017,07.09(일),18:00,한화2vs3LG,잠실
29,2017,07.11(화),18:30,LG1vs6SK,문학
30,2017,07.12(수),18:30,LG12vs6SK,문학
31,2017,07.13(목),18:30,LG9vs1SK,문학
32,2017,07.18(화),18:30,KT2vs3LG,잠실
33,2017,07.19(수),18:30,KT2vs4LG,잠실
34,2017,07.20(목),18:30,KT9vs10LG,잠실
35,2017,07.21(금),18:30,LG10vs4삼성,대구
36,2017,07.23(일),18:00,LG6vs10삼성,대구
37,2017,07.25(화),18:30,넥센6vs0LG,잠실
38,2017,07.26(수),18:30,넥센3vs4LG,잠실
39,2017,07.27(목),18:30,넥센3vs4LG,잠실
40,2017,07.28(금),18:30,LG3vs4한화,대전
41,2017,07.29(토),18:00,LG12vs2한화,대전
42,2017,07.30(일),18:00,LG9vs3한화,대전
43,2017,08.01(화),18:30,롯데0vs2LG,잠실
44,2017,08.02(수),18:30,롯데4vs5LG,잠실
45,2017,08.03(목),18:30,롯데6vs9LG,잠실
46,2017,08.04(금),18:30,두산11vs4LG,잠실
47,2017,08.05(토),18:00,두산2vs1LG,잠실
48,2017,08.06(일),18:00,두산10vs3LG,잠실
49,2017,08.08(화),18:30,LG10vs8삼성,대구
50,2017,08.09(수),18:30,LG4vs7삼성,대구
51,2017,08.10(목),18:30,SK2vs1LG,잠실
52,2017,08.11(금),18:30,SK2vs6LG,잠실
53,2017,08.12(토),18:00,LG10vs11KIA,광주
54,2017,08.16(수),18:30,KT1vs2LG,잠실
55,2017,08.17(목),18:30,LG1vs6SK,문학
56,2017,08.18(금),18:30,LG2vs8SK,문학
57,2017,08.19(토),18:00,삼성4vs6LG,잠실
58,2017,08.22(화),18:30,NC4vs3LG,잠실
59,2017,08.23(수),18:30,NC3vs9LG,잠실
60,2017,08.24(목),18:30,LG0vs11롯데,사직
61,2017,08.25(금),18:30,LG2vs8롯데,사직
62,2017,08.26(토),18:00,LG4vs5두산,잠실
63,2017,08.27(일),18:00,LG1vs1두산,잠실
64,2017,08.29(화),18:30,LG4vs8한화,대전
65,2017,08.30(수),18:30,LG6vs5한화,대전
66,2017,08.31(목),18:30,넥센5vs3LG,잠실
67,2017,09.01(금),18:30,넥센2vs6LG,잠실
68,2017,09.02(토),17:00,LG0vs6NC,마산
69,2017,09.03(일),14:00,LG0vs5NC,마산
70,2017,09.05(화),18:30,KIA3vs4LG,잠실
71,2017,09.06(수),18:30,KIA0vs6LG,잠실
72,2017,09.07(목),18:30,LG1vs1넥센,고척
73,2017,09.08(금),18:30,LG10vs9넥센,고척
74,2017,09.09(토),17:00,두산3vs4LG,잠실
75,2017,09.10(일),14:00,두산5vs1LG,잠실
76,2017,09.12(화),18:30,롯데2vs1LG,잠실
77,2017,09.13(수),18:30,롯데1vs3LG,잠실
78,2017,09.14(목),18:30,LG11vs12KT,수원
79,2017,09.15(금),18:30,LG4vs5KT,수원
80,2017,09.16(토),17:00,한화3vs1LG,잠실
81,2017,09.17(일),14:00,한화1vs8LG,잠실
82,2017,09.19(화),18:30,KT15vs7LG,잠실
83,2017,09.20(수),18:30,한화2vs1LG,잠실
84,2017,09.21(목),18:30,LG4vs8삼성,대구
85,2017,09.22(금),18:30,LG8vs4삼성,대구
86,2017,09.23(토),17:00,LG11vs9NC,마산
87,2017,09.24(일),14:00,LG3vs4NC,마산
88,2017,09.26(화),18:30,LG0vs6KIA,광주
89,2017,09.28(목),18:30,LG15vs6KT,수원
90,2017,09.29(금),18:30,두산5vs3LG,잠실
91,2017,09.30(토),17:00,삼성3vs4LG,잠실
