,year,day,time,play,park
0,2019,06.01(토),17:00,NC1vs5LG,잠실
1,2019,06.02(일),17:00,NC4vs1LG,잠실
2,2019,06.04(화),18:30,KT4vs8LG,잠실
3,2019,06.05(수),18:30,KT2vs9LG,잠실
4,2019,06.06(목),14:00,KT7vs8LG,잠실
5,2019,06.07(금),18:30,LG2vs3한화,대전
6,2019,06.08(토),17:00,LG3vs2한화,대전
7,2019,06.09(일),17:00,LG3vs1한화,대전
8,2019,06.11(화),18:30,롯데1vs1LG,잠실
9,2019,06.12(수),18:30,롯데3vs4LG,잠실
10,2019,06.13(목),18:30,롯데3vs4LG,잠실
11,2019,06.14(금),18:30,LG4vs7두산,잠실
12,2019,06.15(토),17:00,LG4vs3두산,잠실
13,2019,06.16(일),17:00,LG3vs5두산,잠실
14,2019,06.18(화),18:30,LG5vs12삼성,대구
15,2019,06.19(수),18:30,LG9vs6삼성,대구
16,2019,06.20(목),18:30,LG11vs3삼성,대구
17,2019,06.21(금),18:30,KIA8vs9LG,잠실
18,2019,06.22(토),17:00,KIA3vs2LG,잠실
19,2019,06.23(일),17:00,KIA7vs0LG,잠실
20,2019,06.25(화),18:30,SK8vs3LG,잠실
21,2019,06.26(수),18:30,SK7vs4LG,잠실
22,2019,06.27(목),18:30,SK4vs6LG,잠실
23,2019,06.28(금),19:00,LG6vs2NC,창원
24,2019,06.30(일),17:00,LG1vs9NC,창원
25,2019,07.02(화),18:30,한화2vs9LG,잠실
26,2019,07.03(수),18:30,한화1vs6LG,잠실
27,2019,07.04(목),18:30,한화3vs4LG,잠실
28,2019,07.05(금),18:30,LG1vs6KIA,광주
29,2019,07.06(토),18:00,LG0vs7KIA,광주
30,2019,07.07(일),18:00,LG10vs9KIA,광주
31,2019,07.09(화),18:30,두산11vs4LG,잠실
32,2019,07.11(목),18:30,두산8vs4LG,잠실
33,2019,07.12(금),18:30,삼성6vs3LG,잠실
34,2019,07.13(토),18:00,삼성3vs5LG,잠실
35,2019,07.14(일),18:00,삼성0vs2LG,잠실
36,2019,07.16(화),18:30,LG4vs10SK,문학
37,2019,07.17(수),18:30,LG2vs8SK,문학
38,2019,07.18(목),18:30,LG12vs5SK,문학
39,2019,07.27(토),18:00,LG5vs2KT,수원
40,2019,07.28(일),18:00,LG10vs1KT,수원
41,2019,07.30(화),18:30,키움4vs2LG,잠실
42,2019,07.31(수),18:30,키움8vs0LG,잠실
43,2019,08.01(목),18:30,키움5vs11LG,잠실
44,2019,08.03(토),18:00,삼성10vs13LG,잠실
45,2019,08.04(일),17:00,삼성2vs1LG,잠실
46,2019,08.06(화),18:30,LG17vs4KIA,광주
47,2019,08.07(수),18:30,LG5vs10KIA,광주
48,2019,08.08(목),18:30,LG2vs13NC,창원
49,2019,08.09(금),19:00,LG5vs2NC,창원
50,2019,08.10(토),18:00,SK2vs0LG,잠실
51,2019,08.11(일),17:00,SK3vs4LG,잠실
52,2019,08.13(화),18:30,키움7vs8LG,잠실
53,2019,08.14(수),18:30,키움14vs0LG,잠실
54,2019,08.16(금),18:30,LG4vs7두산,잠실
55,2019,08.17(토),18:00,LG2vs7삼성,대구
56,2019,08.18(일),17:00,LG8vs1삼성,대구
57,2019,08.20(화),18:30,KIA3vs15LG,잠실
58,2019,08.21(수),18:30,KIA4vs6LG,잠실
59,2019,08.22(목),18:30,NC5vs2LG,잠실
60,2019,08.23(금),18:30,NC2vs8LG,잠실
61,2019,08.24(토),18:00,KT8vs12LG,잠실
62,2019,08.25(일),17:00,KT7vs3LG,잠실
63,2019,08.27(화),18:30,LG2vs1롯데,울산
64,2019,08.28(수),18:30,LG3vs4롯데,울산
65,2019,08.30(금),18:30,한화1vs0LG,잠실
66,2019,08.31(토),18:00,LG6vs4SK,문학
67,2019,09.01(일),14:00,LG6vs9SK,문학
68,2019,09.03(화),18:30,LG5vs0KT,수원
69,2019,09.06(금),18:30,롯데2vs5LG,잠실
70,2019,09.08(일),14:00,두산1vs2LG,잠실
71,2019,09.10(화),18:30,LG5vs2한화,청주
72,2019,09.11(수),18:30,LG5vs9한화,청주
73,2019,09.12(목),17:00,LG2vs3키움,고척
74,2019,09.13(금),14:00,LG4vs1키움,고척
75,2019,09.14(토),17:00,KIA2vs7LG,잠실
76,2019,09.15(일),14:00,두산4vs10LG,잠실
77,2019,09.16(월),18:30,LG4vs2KT,수원
78,2019,09.18(수),18:30,LG4vs3삼성,포항
79,2019,09.19(목),18:30,LG3vs5NC,창원
80,2019,09.22(일),14:00,LG6vs3두산,잠실
81,2019,09.23(월),18:30,한화9vs1LG,잠실
82,2019,09.24(화),18:30,삼성4vs2LG,잠실
83,2019,09.26(목),18:30,LG4vs3KT,수원
84,2019,09.27(금),18:30,NC3vs0LG,잠실
85,2019,09.28(토),17:00,LG1vs7KIA,광주
86,2019,09.29(일),14:00,두산3vs0LG,잠실
87,2019,09.30(월),18:30,롯데0vs2LG,잠실
