,year,day,time,play,park
0,2020,06.02(화),18:30,삼성2vs0LG,잠실
1,2020,06.03(수),18:30,삼성12vs6LG,잠실
2,2020,06.04(목),18:30,삼성0vs11LG,잠실
3,2020,06.05(금),18:30,LG3vs6키움,고척
4,2020,06.06(토),17:00,LG4vs5키움,고척
5,2020,06.07(일),17:00,LG8vs1키움,고척
6,2020,06.09(화),18:30,SK5vs3LG,잠실
7,2020,06.11(목),15:00,SK1vs3LG,잠실
8,2020,06.11(목),18:30,SK3vs4LG,잠실
9,2020,06.12(금),18:30,롯데2vs3LG,잠실
10,2020,06.13(토),17:00,롯데7vs6LG,잠실
11,2020,06.14(일),17:00,롯데6vs10LG,잠실
12,2020,06.16(화),18:30,LG9vs5한화,대전
13,2020,06.17(수),18:30,LG7vs1한화,대전
14,2020,06.18(목),18:30,LG9vs7한화,대전
15,2020,06.19(금),18:30,두산18vs10LG,잠실
16,2020,06.20(토),17:00,두산8vs2LG,잠실
17,2020,06.21(일),17:00,두산3vs1LG,잠실
18,2020,06.23(화),18:30,키움8vs3LG,잠실
19,2020,06.25(목),15:00,키움5vs2LG,잠실
20,2020,06.25(목),18:30,키움8vs5LG,잠실
21,2020,06.26(금),18:30,LG0vs7SK,문학
22,2020,06.27(토),17:00,LG3vs0SK,문학
23,2020,06.28(일),17:00,LG4vs0SK,문학
24,2020,06.30(화),18:30,KT3vs4LG,잠실
25,2020,07.01(수),18:30,KT11vs5LG,잠실
26,2020,07.02(목),18:30,KT4vs3LG,잠실
27,2020,07.03(금),18:30,LG7vs9삼성,대구
28,2020,07.04(토),18:00,LG6vs7삼성,대구
29,2020,07.05(일),17:00,LG7vs3삼성,대구
30,2020,07.07(화),18:30,LG6vs9두산,잠실
31,2020,07.08(수),18:30,LG8vs5두산,잠실
32,2020,07.09(목),18:30,LG0vs6두산,잠실
33,2020,07.10(금),18:30,NC12vs2LG,잠실
34,2020,07.11(토),18:00,NC6vs6LG,잠실
35,2020,07.14(화),18:30,LG0vs5롯데,사직
36,2020,07.15(수),18:30,LG9vs3롯데,사직
37,2020,07.16(목),18:30,LG10vs15롯데,사직
38,2020,07.17(금),18:30,한화0vs8LG,잠실
39,2020,07.18(토),18:00,한화1vs3LG,잠실
40,2020,07.19(일),17:00,한화2vs6LG,잠실
41,2020,07.21(화),18:30,LG9vs10KT,수원
42,2020,07.24(금),18:30,LG8vs1두산,잠실
43,2020,07.25(토),18:00,LG3vs7두산,잠실
44,2020,07.26(일),17:00,LG4vs3두산,잠실
45,2020,07.28(화),18:30,LG24vs7SK,문학
46,2020,07.29(수),18:30,LG11vs6SK,문학
47,2020,07.30(목),18:30,LG9vs1SK,문학
48,2020,07.31(금),18:30,한화2vs1LG,잠실
49,2020,08.01(토),18:00,한화6vs9LG,잠실
50,2020,08.04(화),18:30,LG15vs5KIA,광주
51,2020,08.05(수),18:30,LG6vs4KIA,광주
52,2020,08.06(목),18:30,LG1vs13KIA,광주
53,2020,08.07(금),18:30,LG5vs2키움,고척
54,2020,08.08(토),18:00,LG1vs5키움,고척
55,2020,08.09(일),17:00,LG1vs2키움,고척
56,2020,08.11(화),18:30,KIA8vs4LG,잠실
57,2020,08.12(수),18:30,KIA0vs8LG,잠실
58,2020,08.13(목),18:30,KIA2vs4LG,잠실
59,2020,08.14(금),18:30,LG10vs4NC,창원
60,2020,08.15(토),17:00,LG13vs4NC,창원
61,2020,08.16(일),17:00,LG6vs5NC,창원
62,2020,08.18(화),18:30,KIA5vs6LG,잠실
63,2020,08.19(수),18:30,KIA1vs10LG,잠실
64,2020,08.20(목),18:30,LG5vs6키움,고척
65,2020,08.21(금),18:30,LG7vs3키움,고척
66,2020,08.23(일),17:00,한화4vs3LG,잠실
67,2020,08.24(월),18:30,한화6vs3LG,잠실
68,2020,08.25(화),18:30,LG3vs4삼성,대구
69,2020,08.26(수),18:30,LG8vs5삼성,대구
70,2020,08.27(목),18:30,KT0vs2LG,잠실
71,2020,08.28(금),18:30,KT5vs6LG,잠실
72,2020,08.29(토),18:00,두산5vs5LG,잠실
73,2020,08.30(일),17:00,두산1vs4LG,잠실
74,2020,09.01(화),18:30,LG13vs5SK,문학
75,2020,09.03(목),18:30,NC5vs6LG,잠실
76,2020,09.04(금),18:30,NC5vs5LG,잠실
77,2020,09.06(일),14:00,LG7vs1롯데,사직
78,2020,09.07(월),18:30,LG6vs12롯데,사직
79,2020,09.08(화),18:30,LG2vs3KIA,광주
80,2020,09.10(목),18:30,키움1vs6LG,잠실
81,2020,09.11(금),18:30,키움8vs2LG,잠실
82,2020,09.12(토),17:00,삼성5vs1LG,잠실
83,2020,09.13(일),14:00,삼성11vs0LG,잠실
84,2020,09.15(화),18:30,LG5vs6한화,대전
85,2020,09.16(수),18:30,LG11vs5한화,대전
86,2020,09.17(목),18:30,롯데1vs9LG,잠실
87,2020,09.18(금),18:30,롯데5vs3LG,잠실
88,2020,09.19(토),17:00,LG9vs6두산,잠실
89,2020,09.20(일),14:00,LG5vs6두산,잠실
90,2020,09.22(화),18:30,SK2vs7LG,잠실
91,2020,09.23(수),18:30,SK2vs6LG,잠실
92,2020,09.24(목),18:30,LG8vs12NC,창원
93,2020,09.25(금),18:30,LG1vs7NC,창원
94,2020,09.26(토),17:00,LG3vs1KT,수원
95,2020,09.27(일),14:00,LG4vs5KT,수원
96,2020,09.29(화),18:30,롯데8vs5LG,잠실
97,2020,09.30(수),14:00,롯데3vs5LG,잠실
